C:\Users\Healthy\AppData\Local\Programs\Python\Python38-32\python.exe "C:/Users/Healthy/Desktop/AI Project 1/actual main.py"
3*3 - Hamming
Puzzle Number     Nodes Expanded     Steps Taken            Puzzle
---------------------------------------------------------------------------
1                           2959              19    [3, 1, 0, 4, 6, 2, 8, 7, 5]             
2                          12780              23    [7, 8, 4, 1, 5, 2, 0, 6, 3]             
3                          14888              23    [0, 1, 4, 5, 2, 8, 3, 7, 6]             
4                          30926              25    [5, 3, 0, 7, 6, 8, 4, 1, 2]             
5                           1422              17    [1, 5, 4, 8, 0, 2, 3, 7, 6]             
6                           5879              20    [1, 0, 5, 3, 4, 8, 7, 2, 6]             
7                           2453              18    [4, 3, 6, 7, 1, 0, 2, 8, 5]             
8                          17140              23    [5, 4, 8, 3, 6, 2, 0, 7, 1]             
9                            822              16    [1, 2, 6, 0, 4, 3, 7, 8, 5]             
10                         58473              27    [8, 6, 5, 1, 7, 3, 2, 4, 0]             
11                          5995              21    [7, 2, 0, 3, 8, 6, 1, 5, 4]             
12                         14949              23    [6, 8, 4, 5, 3, 1, 0, 7, 2]             
13                         24977              24    [8, 6, 1, 3, 4, 5, 7, 0, 2]             
14                         24812              24    [1, 7, 8, 0, 2, 3, 5, 6, 4]             
15                          2030              18    [7, 1, 3, 6, 8, 0, 5, 4, 2]             
16                          1543              18    [1, 0, 8, 4, 6, 3, 2, 5, 7]             
17                          2544              19    [7, 4, 1, 5, 8, 3, 6, 2, 0]             
18                         15466              23    [0, 5, 1, 8, 6, 3, 7, 4, 2]             
19                          5452              20    [1, 7, 2, 3, 5, 6, 8, 0, 4]             
20                         11780              22    [3, 5, 2, 0, 7, 8, 4, 6, 1]             
21                           517              15    [1, 3, 6, 8, 7, 5, 0, 4, 2]             
22                          1271              17    [1, 2, 5, 8, 4, 7, 0, 6, 3]             
23                         11655              22    [6, 8, 3, 0, 4, 2, 7, 1, 5]             
24                          1239              17    [1, 6, 5, 3, 2, 8, 0, 4, 7]             
25                          2160              18    [1, 2, 4, 0, 7, 5, 3, 8, 6]             
26                          2267              18    [6, 2, 3, 8, 1, 5, 4, 0, 7]             
27                         14006              23    [1, 4, 5, 8, 6, 7, 2, 3, 0]             
28                          5158              20    [4, 0, 2, 3, 8, 5, 7, 1, 6]             
29                         11264              22    [5, 6, 4, 3, 8, 2, 7, 0, 1]             
30                         10763              22    [5, 2, 7, 4, 6, 0, 8, 3, 1]             
31                         30239              25    [7, 6, 4, 2, 8, 5, 1, 3, 0]             
32                          5807              20    [5, 2, 1, 4, 6, 0, 8, 7, 3]             
33                         12886              23    [8, 7, 1, 5, 3, 2, 6, 4, 0]             
34                         25061              24    [3, 4, 7, 0, 2, 8, 5, 6, 1]             
35                          1272              17    [1, 4, 2, 5, 3, 8, 7, 6, 0]             
36                          5848              21    [0, 5, 1, 6, 3, 2, 8, 4, 7]             
37                           701              15    [1, 7, 2, 4, 0, 3, 6, 8, 5]             
38                         29743              25    [7, 6, 0, 1, 3, 5, 8, 2, 4]             
39                          2519              18    [3, 0, 6, 1, 2, 4, 5, 7, 8]             
40                          6494              21    [4, 6, 2, 3, 1, 7, 5, 8, 0]             
41                         11173              22    [6, 1, 2, 5, 7, 0, 3, 8, 4]             
42                         12856              23    [4, 8, 5, 2, 6, 7, 3, 1, 0]             
43                          6504              21    [7, 1, 2, 3, 4, 5, 6, 8, 0]             
44                         13344              23    [4, 1, 7, 3, 8, 2, 6, 5, 0]             
45                         23780              24    [3, 6, 4, 0, 5, 8, 7, 2, 1]             
46                         24669              24    [1, 6, 4, 7, 5, 8, 3, 0, 2]             
47                          3105              19    [3, 5, 4, 1, 8, 6, 7, 2, 0]             
48                          8727              21    [4, 5, 1, 7, 0, 8, 3, 6, 2]             
49                         10856              22    [8, 2, 4, 6, 5, 1, 7, 0, 3]             
50                           343              15    [1, 6, 8, 2, 3, 7, 5, 4, 0]             
51                            57              10    [2, 0, 3, 1, 6, 8, 5, 4, 7]             
52                          2775              19    [2, 3, 8, 4, 0, 7, 6, 5, 1]             
53                         20754              23    [8, 4, 6, 5, 0, 3, 2, 1, 7]             
54                         16986              23    [0, 2, 4, 8, 6, 7, 5, 1, 3]             
55                          5793              21    [6, 8, 0, 1, 3, 4, 7, 5, 2]             
56                         53399              26    [8, 3, 2, 0, 6, 1, 5, 4, 7]             
57                          7161              21    [4, 6, 1, 8, 0, 7, 2, 3, 5]             
58                         24970              24    [8, 2, 7, 6, 3, 1, 4, 0, 5]             
59                           914              16    [8, 1, 2, 6, 3, 0, 4, 5, 7]             
60                         31150              25    [8, 2, 0, 7, 3, 6, 4, 1, 5]             
61                         70740              27    [8, 5, 7, 1, 0, 4, 2, 3, 6]             
62                          2369              18    [5, 0, 2, 4, 1, 6, 3, 7, 8]             
63                         25149              24    [1, 2, 4, 6, 8, 0, 3, 5, 7]             
64                         11338              22    [4, 7, 2, 0, 8, 5, 3, 1, 6]             
65                         18005              23    [8, 3, 0, 5, 2, 1, 7, 6, 4]             
66                         58494              27    [0, 3, 7, 2, 5, 1, 6, 8, 4]             
67                         29232              25    [4, 8, 0, 1, 2, 7, 6, 3, 5]             
68                         12400              22    [1, 4, 8, 0, 2, 5, 6, 7, 3]             
69                         85316              28    [5, 4, 7, 3, 1, 8, 6, 0, 2]             
70                         11555              22    [8, 0, 5, 4, 2, 6, 3, 1, 7]             
71                          5543              20    [1, 2, 4, 6, 8, 0, 5, 7, 3]             
72                         52651              26    [5, 7, 8, 0, 3, 4, 1, 2, 6]             
73                         18096              23    [6, 2, 0, 8, 3, 1, 4, 5, 7]             
74                         13505              23    [5, 3, 0, 8, 7, 4, 6, 2, 1]             
75                          5440              21    [4, 2, 8, 6, 7, 5, 0, 3, 1]             
76                          6277              21    [5, 6, 3, 4, 2, 8, 7, 1, 0]             
77                         24478              24    [2, 8, 7, 4, 1, 0, 3, 5, 6]             
78                         28469              25    [6, 7, 0, 5, 8, 4, 2, 1, 3]             
79                          4480              20    [8, 3, 6, 0, 5, 7, 2, 1, 4]             
80                          2134              18    [2, 4, 1, 0, 8, 6, 7, 5, 3]             
81                          2385              18    [2, 4, 5, 1, 3, 0, 7, 6, 8]             
82                          2637              19    [1, 6, 0, 4, 2, 7, 5, 8, 3]             
83                         11988              22    [5, 0, 1, 4, 2, 8, 3, 7, 6]             
84                          5551              20    [7, 0, 5, 1, 6, 3, 4, 8, 2]             
85                         10372              22    [8, 1, 5, 3, 2, 7, 6, 0, 4]             
86                         12616              22    [8, 6, 2, 0, 4, 5, 7, 3, 1]             
87                         49241              26    [7, 8, 5, 3, 2, 0, 6, 4, 1]             
88                         52752              26    [6, 8, 1, 0, 5, 3, 7, 4, 2]             
89                         16268              23    [8, 4, 6, 3, 7, 5, 2, 1, 0]             
90                         29843              25    [1, 4, 7, 6, 5, 3, 2, 8, 0]             
91                         36339              25    [0, 4, 7, 6, 8, 2, 3, 1, 5]             
92                         11594              22    [7, 8, 5, 2, 6, 0, 1, 3, 4]             
93                         86140              28    [6, 0, 1, 5, 3, 4, 8, 2, 7]             
94                          4006              19    [4, 5, 2, 6, 0, 8, 7, 1, 3]             
95                          6263              21    [5, 3, 8, 6, 1, 4, 7, 2, 0]             
96                         60135              27    [2, 7, 8, 6, 5, 1, 3, 4, 0]             
97                           891              16    [1, 6, 5, 7, 4, 0, 3, 8, 2]             
98                         25645              24    [6, 0, 4, 1, 5, 2, 8, 3, 7]             
99                         17350              23    [5, 7, 2, 3, 6, 1, 0, 8, 4]             
100                         6170              21    [0, 4, 5, 7, 6, 1, 3, 2, 8]             
total nodes for Hamming:  1651333 , total steps for Hamming:  2156
---------------------------------------------------------------------------
3*3 - Manhattan
Puzzle Number     Nodes Expanded     Steps Taken            Puzzle
---------------------------------------------------------------------------
1                           1381              21    [3, 1, 0, 4, 6, 2, 8, 7, 5]             
2                            504              23    [7, 8, 4, 1, 5, 2, 0, 6, 3]             
3                           2942              25    [0, 1, 4, 5, 2, 8, 3, 7, 6]             
4                           3358              25    [5, 3, 0, 7, 6, 8, 4, 1, 2]             
5                            167              17    [1, 5, 4, 8, 0, 2, 3, 7, 6]             
6                            909              20    [1, 0, 5, 3, 4, 8, 7, 2, 6]             
7                            383              18    [4, 3, 6, 7, 1, 0, 2, 8, 5]             
8                            891              23    [5, 4, 8, 3, 6, 2, 0, 7, 1]             
9                            315              16    [1, 2, 6, 0, 4, 3, 7, 8, 5]             
10                          7009              27    [8, 6, 5, 1, 7, 3, 2, 4, 0]             
11                           724              21    [7, 2, 0, 3, 8, 6, 1, 5, 4]             
12                           359              23    [6, 8, 4, 5, 3, 1, 0, 7, 2]             
13                          1745              24    [8, 6, 1, 3, 4, 5, 7, 0, 2]             
